[Printing deck in order]
1: Ten of Hearts
2: Seven of Hearts
3: Deuce of Clubs
4: Queen of Diamonds
5: Six of Clubs
6: Jack of Spades
7: Ace of Clubs
8: King of Diamonds
9: Queen of Hearts
10: Deuce of Spades
11: Three of Diamonds
12: Five of Spades
13: Eight of Hearts
14: Deuce of Diamonds
15: Six of Spades
16: Jack of Clubs
17: Queen of Clubs
18: Five of Diamonds
19: Nine of Clubs
20: Nine of Spades
21: Seven of Clubs
22: Queen of Spades
23: Five of Clubs
24: Six of Hearts
25: Ten of Clubs
26: Jack of Hearts
27: Three of Clubs
28: Four of Hearts
29: Nine of Diamonds
30: Four of Clubs
31: Three of Spades
32: Five of Hearts
33: Ten of Spades
34: King of Spades
35: Ten of Diamonds
36: Four of Diamonds
37: Jack of Diamonds
38: Seven of Diamonds
39: Ace of Spades
40: Eight of Diamonds
41: Ace of Hearts
42: King of Hearts
43: Deuce of Hearts
44: Six of Diamonds
45: Four of Spades
46: Nine of Hearts
47: Eight of Clubs
48: Ace of Diamonds
49: Eight of Spades
50: King of Clubs
51: Three of Hearts
52: Seven of Spades
